,HorarioH,Velocidade máxima,Horário,Gênero,Região,Idade
117,15.333333333333334,100,920,Male,Outer Regional Australia,45
118,6.0,110,360,Male,Inner Regional Australia,48
119,10.25,100,615,Female,Outer Regional Australia,51
120,12.0,100,720,Male,Remote Australia,40
121,14.0,50,840,Male,Major Cities of Australia,51
123,10.0,100,600,Male,Inner Regional Australia,40
124,14.5,100,870,Male,Outer Regional Australia,24
126,16.183333333333334,100,971,Male,Inner Regional Australia,68
127,16.0,70,960,Male,Major Cities of Australia,70
128,14.55,60,873,Male,Inner Regional Australia,70
130,9.166666666666666,100,550,Male,Outer Regional Australia,18
131,5.2,80,312,Male,Major Cities of Australia,50
132,9.933333333333334,60,596,Female,Major Cities of Australia,8
133,10.0,70,600,Female,Major Cities of Australia,79
135,20.5,80,1230,Male,Outer Regional Australia,63
136,5.916666666666667,110,355,Male,Outer Regional Australia,64
137,12.0,100,720,Male,Remote Australia,85
138,16.0,100,960,Female,Outer Regional Australia,83
139,17.333333333333332,80,1040,Female,Inner Regional Australia,83
140,7.866666666666666,50,472,Female,Major Cities of Australia,83
141,15.333333333333334,100,920,Female,Outer Regional Australia,75
142,15.5,110,930,Female,Very Remote Australia,29
143,3.5,110,210,Female,Inner Regional Australia,41
144,3.5,110,210,Male,Inner Regional Australia,52
147,18.333333333333332,90,1100,Male,Remote Australia,50
148,20.0,50,1200,Male,Major Cities of Australia,69
149,17.616666666666667,100,1057,Male,Inner Regional Australia,20
150,6.0,100,360,Male,Major Cities of Australia,25
151,8.0,100,480,Male,Outer Regional Australia,77
152,13.666666666666666,80,820,Female,Inner Regional Australia,86
153,14.083333333333334,100,845,Male,Outer Regional Australia,90
154,14.083333333333334,100,845,Female,Outer Regional Australia,85
155,14.55,60,873,Male,Inner Regional Australia,76
156,15.5,80,930,Male,Inner Regional Australia,82
158,9.933333333333334,60,596,Male,Major Cities of Australia,-9
159,19.683333333333334,60,1181,Male,Major Cities of Australia,49
160,19.083333333333332,50,1145,Male,Outer Regional Australia,15
161,17.0,80,1020,Male,Major Cities of Australia,16
162,11.0,60,660,Female,Major Cities of Australia,63
163,16.083333333333332,50,965,Male,Major Cities of Australia,80
165,11.616666666666667,50,697,Female,Outer Regional Australia,79
166,3.0,60,180,Male,Major Cities of Australia,77
167,20.0,110,1200,Male,Major Cities of Australia,17
168,2.0,60,120,Female,Outer Regional Australia,31
169,2.0,60,120,Male,Remote Australia,35
170,2.5,60,150,Male,Major Cities of Australia,40
171,19.0,100,1140,Male,Inner Regional Australia,52
172,22.0,110,1320,Male,Outer Regional Australia,19
173,20.0,100,1200,Male,Inner Regional Australia,22
174,23.0,60,1380,Female,Outer Regional Australia,20
175,3.2333333333333334,100,194,Female,Major Cities of Australia,63
176,20.0,70,1200,Male,Inner Regional Australia,17
178,22.0,60,1320,Male,Major Cities of Australia,18
179,3.95,100,237,Male,Inner Regional Australia,27
180,18.0,110,1080,Male,Remote Australia,59
181,18.0,110,1080,Male,Remote Australia,45
182,18.0,110,1080,Male,Remote Australia,58
183,4.0,130,240,Female,Very Remote Australia,30
184,22.0,70,1320,Female,Major Cities of Australia,28
186,1.1666666666666667,60,70,Male,Major Cities of Australia,18
189,1.1666666666666667,60,70,Male,Major Cities of Australia,18
191,20.8,60,1248,Male,Very Remote Australia,33
192,20.233333333333334,100,1214,Male,Inner Regional Australia,15
193,1.3166666666666667,70,79,Male,Major Cities of Australia,17
194,21.0,80,1260,Male,Major Cities of Australia,31
196,10.0,100,600,Female,Outer Regional Australia,60
197,7.616666666666666,60,457,Female,Outer Regional Australia,51
198,11.2,110,672,Female,Outer Regional Australia,46
199,11.2,110,672,Male,Outer Regional Australia,46
201,10.0,100,600,Male,Inner Regional Australia,55
202,13.483333333333333,110,809,Male,Outer Regional Australia,67
204,11.0,100,660,Female,Inner Regional Australia,39
205,16.166666666666668,100,970,Male,Outer Regional Australia,33
206,17.166666666666668,60,1030,Male,Major Cities of Australia,27
209,14.0,100,840,Male,Outer Regional Australia,60
210,6.0,100,360,Female,Outer Regional Australia,39
211,6.0,100,360,Male,Outer Regional Australia,56
212,22.0,60,1320,Male,Major Cities of Australia,17
213,12.0,90,720,Male,Inner Regional Australia,49
214,10.0,100,600,Female,Inner Regional Australia,12
215,10.0,100,600,Female,Inner Regional Australia,29
216,6.833333333333333,110,410,Male,Inner Regional Australia,44
217,15.666666666666666,110,940,Male,Outer Regional Australia,40
218,15.666666666666666,110,940,Female,Outer Regional Australia,61
219,1.3833333333333333,100,83,Male,Outer Regional Australia,19
220,16.0,60,960,Male,Major Cities of Australia,59
