,HorarioH,Velocidade máxima,Horário,Gênero,Região,Idade
339,18,80,1080,Male,Inner Regional Australia,51
340,5,80,358,Male,Major Cities of Australia,56
341,23,80,1380,Male,Inner Regional Australia,55
342,21,100,1260,Male,Outer Regional Australia,48
343,13,100,808,Female,Inner Regional Australia,77
344,22,110,1365,Male,Very Remote Australia,60
345,18,110,1110,Male,Very Remote Australia,16
346,13,110,786,Female,Outer Regional Australia,78
347,23,110,1410,Female,Major Cities of Australia,44
348,18,100,1080,Male,Outer Regional Australia,48
349,19,100,1155,Male,Inner Regional Australia,50
350,22,110,1365,Male,Very Remote Australia,54
351,22,110,1365,Female,Very Remote Australia,48
352,6,60,380,Female,Major Cities of Australia,25
353,0,100,0,Female,Outer Regional Australia,26
354,0,100,0,Male,Outer Regional Australia,23
355,8,100,495,Female,Inner Regional Australia,20
356,7,80,426,Male,Major Cities of Australia,22
358,6,100,415,Female,Outer Regional Australia,17
359,7,110,420,Male,Major Cities of Australia,27
360,11,100,710,Male,Outer Regional Australia,36
362,13,50,794,Female,Major Cities of Australia,75
364,19,60,1180,Male,Major Cities of Australia,19
365,11,60,712,Male,Major Cities of Australia,68
366,13,40,805,Female,Major Cities of Australia,83
367,9,60,540,Male,Major Cities of Australia,1
368,19,60,1189,Female,Major Cities of Australia,81
369,18,100,1080,Male,Outer Regional Australia,27
370,8,50,514,Female,Major Cities of Australia,53
371,14,60,890,Male,Major Cities of Australia,68
372,17,50,1065,Male,Inner Regional Australia,69
373,17,50,1065,Female,Inner Regional Australia,75
374,17,60,1070,Male,Inner Regional Australia,83
375,17,50,1035,Male,Major Cities of Australia,84
376,7,60,420,Female,Major Cities of Australia,84
378,21,50,1315,Male,Major Cities of Australia,70
379,9,70,554,Female,Major Cities of Australia,80
380,12,70,725,Male,Major Cities of Australia,89
382,20,100,1255,Male,Outer Regional Australia,18
383,4,110,285,Female,Outer Regional Australia,57
384,2,60,150,Female,Inner Regional Australia,23
386,2,70,133,Female,Outer Regional Australia,36
387,19,130,1185,Male,Very Remote Australia,29
388,4,110,277,Male,Outer Regional Australia,29
390,21,80,1268,Female,Inner Regional Australia,57
391,18,60,1100,Male,Major Cities of Australia,45
392,23,100,1380,Female,Outer Regional Australia,46
393,1,50,60,Male,Outer Regional Australia,16
394,20,100,1232,Male,Inner Regional Australia,17
395,8,100,518,Male,Inner Regional Australia,37
397,6,100,412,Male,Outer Regional Australia,45
398,12,80,779,Male,Inner Regional Australia,43
399,13,80,809,Female,Outer Regional Australia,58
401,8,50,490,Female,Major Cities of Australia,46
402,12,80,760,Male,Outer Regional Australia,57
404,12,80,745,Male,Inner Regional Australia,48
406,21,100,1260,Male,Remote Australia,67
408,14,110,899,Male,Outer Regional Australia,69
409,1,60,60,Female,Major Cities of Australia,85
410,13,70,795,Female,Major Cities of Australia,67
411,16,50,960,Male,Inner Regional Australia,18
413,16,100,960,Male,Outer Regional Australia,39
414,15,60,902,Male,Major Cities of Australia,26
415,9,100,540,Male,Outer Regional Australia,78
417,15,110,900,Female,Remote Australia,30
418,16,100,1003,Male,Outer Regional Australia,33
419,10,100,600,Male,Remote Australia,36
420,17,100,1020,Male,Outer Regional Australia,39
421,15,80,941,Male,Outer Regional Australia,51
422,6,100,400,Male,Outer Regional Australia,50
423,9,110,552,Male,Very Remote Australia,52
424,0,50,27,Male,Remote Australia,24
426,12,50,735,Male,Major Cities of Australia,57
427,15,50,900,Male,Major Cities of Australia,48
428,16,60,960,Male,Major Cities of Australia,20
429,17,100,1065,Male,Inner Regional Australia,52
431,19,110,1140,Male,Very Remote Australia,28
432,4,110,285,Male,Outer Regional Australia,27
434,21,60,1300,Male,Inner Regional Australia,29
435,10,100,618,Female,Outer Regional Australia,53
436,6,100,375,Male,Inner Regional Australia,56
438,16,50,960,Male,Outer Regional Australia,16
439,16,100,970,Male,Inner Regional Australia,65
440,10,60,600,Male,Inner Regional Australia,66
441,11,60,710,Female,Inner Regional Australia,71
442,17,100,1020,Male,Outer Regional Australia,69
443,12,80,720,Male,Inner Regional Australia,71
444,8,60,480,Female,Inner Regional Australia,70
445,14,100,869,Female,Inner Regional Australia,40
446,18,100,1125,Male,Inner Regional Australia,61
447,22,100,1335,Male,Inner Regional Australia,52
448,1,100,75,Male,Outer Regional Australia,21
449,18,40,1138,Male,Major Cities of Australia,25
450,16,100,1015,Male,Inner Regional Australia,37
451,11,60,660,Female,Major Cities of Australia,90
