,HorarioH,VelocidadeMaxima,Horário,Gênero,Região,Idade,Ano,Mes,TipoBatida
294,14,80,840,Male,Outer Regional Australia,63,2021,6,1
295,10,110,611,Male,Outer Regional Australia,51,2021,6,1
296,14,80,878,Male,Inner Regional Australia,51,2021,6,2
300,14,110,840,Female,Very Remote Australia,57,2021,6,1
301,19,110,1150,Male,Outer Regional Australia,70,2021,6,1
302,8,80,500,Female,Very Remote Australia,35,2021,6,1
303,13,80,810,Male,Major Cities of Australia,71,2021,6,2
304,13,80,805,Female,Major Cities of Australia,67,2021,6,1
305,11,60,660,Male,Outer Regional Australia,84,2021,6,2
306,14,100,840,Male,Outer Regional Australia,18,2021,6,1
307,17,60,1020,Male,Inner Regional Australia,30,2021,6,2
308,5,80,300,Male,Inner Regional Australia,86,2021,6,2
310,8,100,480,Female,Inner Regional Australia,29,2021,6,2
311,17,100,1020,Female,Very Remote Australia,37,2021,6,1
312,16,100,960,Female,Inner Regional Australia,61,2021,6,2
313,14,80,840,Female,Inner Regional Australia,43,2021,6,2
314,8,100,480,Female,Outer Regional Australia,48,2021,6,1
315,11,80,690,Male,Inner Regional Australia,64,2021,6,1
316,15,60,900,Male,Major Cities of Australia,40,2021,6,2
317,16,80,1010,Female,Outer Regional Australia,50,2021,6,1
318,22,50,1320,Male,Major Cities of Australia,25,2021,6,1
319,20,100,1200,Male,Outer Regional Australia,23,2021,6,1
320,13,130,795,Male,Very Remote Australia,30,2021,6,1
322,1,60,60,Male,Major Cities of Australia,27,2021,6,1
323,14,50,878,Male,Major Cities of Australia,25,2021,6,2
324,15,60,908,Male,Major Cities of Australia,52,2021,6,2
325,18,70,1080,Male,Major Cities of Australia,29,2021,6,2
327,6,80,360,Female,Remote Australia,47,2021,6,1
328,17,80,1020,Male,Major Cities of Australia,26,2021,6,2
329,6,50,360,Male,Inner Regional Australia,64,2021,6,1
330,6,100,360,Male,Inner Regional Australia,18,2021,6,2
331,6,50,360,Male,Outer Regional Australia,13,2021,6,1
332,13,50,780,Male,Inner Regional Australia,65,2021,6,1
333,15,100,938,Male,Outer Regional Australia,66,2021,6,1
334,16,100,979,Male,Inner Regional Australia,67,2021,6,2
335,13,100,808,Female,Inner Regional Australia,69,2021,6,2
336,13,50,835,Male,Major Cities of Australia,73,2021,6,2
337,15,60,937,Male,Major Cities of Australia,72,2021,6,2
338,10,100,645,Male,Inner Regional Australia,66,2021,6,2
339,18,80,1080,Male,Inner Regional Australia,51,2021,6,2
340,5,80,358,Male,Major Cities of Australia,56,2021,6,2
341,23,80,1380,Male,Inner Regional Australia,55,2021,6,2
342,21,100,1260,Male,Outer Regional Australia,48,2021,6,2
343,13,100,808,Female,Inner Regional Australia,77,2021,6,2
344,22,110,1365,Male,Very Remote Australia,60,2021,6,1
345,18,110,1110,Male,Very Remote Australia,16,2021,6,1
346,13,110,786,Female,Outer Regional Australia,78,2021,6,1
347,23,110,1410,Female,Major Cities of Australia,44,2021,6,2
348,18,100,1080,Male,Outer Regional Australia,48,2021,6,1
349,19,100,1155,Male,Inner Regional Australia,50,2021,6,2
350,22,110,1365,Male,Very Remote Australia,54,2021,6,1
351,22,110,1365,Female,Very Remote Australia,48,2021,6,1
352,6,60,380,Female,Major Cities of Australia,25,2021,6,2
353,0,100,0,Female,Outer Regional Australia,26,2021,6,2
354,0,100,0,Male,Outer Regional Australia,23,2021,6,2
355,8,100,495,Female,Inner Regional Australia,20,2021,6,1
356,7,80,426,Male,Major Cities of Australia,22,2021,6,2
358,6,100,415,Female,Outer Regional Australia,17,2021,6,1
359,7,110,420,Male,Major Cities of Australia,27,2021,6,2
360,11,100,710,Male,Outer Regional Australia,36,2021,6,1
362,13,50,794,Female,Major Cities of Australia,75,2021,6,1
364,19,60,1180,Male,Major Cities of Australia,19,2021,6,2
365,11,60,712,Male,Major Cities of Australia,68,2021,6,1
366,13,40,805,Female,Major Cities of Australia,83,2021,6,1
367,9,60,540,Male,Major Cities of Australia,1,2021,6,1
368,19,60,1189,Female,Major Cities of Australia,81,2021,6,1
